"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","category"
"4318",12548,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca arctoides","VU"
"4319",12549,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca assamensis","NT"
"4320",12550,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca cyclopis","LC"
"4321",12551,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca fascicularis","LC"
"4322",12552,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca fuscata","LC"
"4323",12553,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca maura","EN"
"4324",12554,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca mulatta","LC"
"4325",12555,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca nemestrina","VU"
"4326",12556,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca nigra","CR"
"4327",12557,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca ochreata","VU"
"4328",12558,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca radiata","LC"
"4329",12559,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca silenus","EN"
"4330",12560,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca sinica","EN"
"4331",12561,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca sylvanus","EN"
"4332",12562,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca thibetana","NT"
"4333",12563,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca tonkeana","VU"
"4334",12565,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca fuscata ssp. yakui","LC"
"4335",12568,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca nigrescens","VU"
"4336",12569,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca ochreata ssp. brunnescens","VU"
